"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id";"floor";"building_name";"section_number";"section_floors_count"
"Республики 205";"https://tyumen.brusnika.ru/flat/48207/";"92";"9920000";"16520000";"48207";"16";"Дом 2";"3";"16"
"Республики 205";"https://tyumen.brusnika.ru/flat/48281/";"73,5";"9920000";"12400000";"48281";"3";"Дом 2";"5";"7"
"Республики 205";"https://tyumen.brusnika.ru/flat/54971/";"64,6";"9940000";"12420000";"54971";"3";"Дом 3-1";"6";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56298/";"48,8";"9950000";"11710000";"56298";"3";"Дом 2";"9";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67284/";"59,1";"9950000";"11050000";"67284";"7";"Дом 2-1";"3";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56796/";"45";"9950000";"12440000";"56796";"15";"Дом 1";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/68680/";"61,1";"9950000";"12440000";"68680";"6";"Дом 5-2";"6";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54689/";"46,8";"9970000";"11730000";"54689";"4";"Дом 2";"8";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54662/";"48,8";"9980000";"11740000";"54662";"4";"Дом 2";"9";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56270/";"44,3";"9980000";"12480000";"56270";"10";"Дом 1";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/66344/";"71,3";"10000000";"11770000";"66344";"5";"Дом 5-1";"1";"25"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48869/";"79,7";"10000000";"12500000";"48869";"3";"Дом 10";"1";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/70099/";"67,1";"10010000";"12510000";"70099";"2";"Дом 5-2";"4";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56314/";"84,1";"10010000";"12510000";"56314";"4";"Дом 9";"2";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/54926/";"71,3";"10020000";"12520000";"54926";"4";"Дом 3-1";"1";"18"
"Республики 205";"https://tyumen.brusnika.ru/flat/54931/";"64,6";"10030000";"12540000";"54931";"5";"Дом 3-1";"6";"8"
