"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id"
"Зарека";"https://tyumen.brusnika.ru/flat/67204/";"36,8";"6810000";"7480000";"67204"
"Республики 205";"https://tyumen.brusnika.ru/flat/56421/";"36,2";"6820000";"8530000";"56421"
"Зарека";"https://tyumen.brusnika.ru/flat/57131/";"34";"6820000";"8020000";"57131"
"Зарека";"https://tyumen.brusnika.ru/flat/66331/";"34";"6840000";"8050000";"66331"
"Зарека";"https://tyumen.brusnika.ru/flat/69615/";"27,2";"6860000";"8570000";"69615"
"Зарека";"https://tyumen.brusnika.ru/flat/67912/";"33,8";"6940000";"8160000";"67912"
"Зарека";"https://tyumen.brusnika.ru/flat/66320/";"33,8";"7010000";"8250000";"66320"
"Зарека";"https://tyumen.brusnika.ru/flat/59836/";"33,8";"7060000";"8310000";"59836"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/50766/";"45,6";"7080000";"9910000";"50766"
"Зарека";"https://tyumen.brusnika.ru/flat/52938/";"35,2";"7080000";"8850000";"52938"
"Зарека";"https://tyumen.brusnika.ru/flat/52935/";"43,8";"7090000";"8860000";"52935"
"Зарека";"https://tyumen.brusnika.ru/flat/65608/";"33,8";"7110000";"8370000";"65608"
"Зарека";"https://tyumen.brusnika.ru/flat/57122/";"33,9";"7110000";"8370000";"57122"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47939/";"34,1";"7110000";"8890000";"47939"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47996/";"34,1";"7110000";"8890000";"47996"
"Зарека";"https://tyumen.brusnika.ru/flat/70098/";"33,8";"7110000";"8370000";"70098"
"Дом у озера";"https://tyumen.brusnika.ru/flat/44422/";"34,1";"7110000";"8890000";"44422"
"Зарека";"https://tyumen.brusnika.ru/flat/70100/";"33,5";"7150000";"8410000";"70100"
"Зарека";"https://tyumen.brusnika.ru/flat/57190/";"33,7";"7150000";"8410000";"57190"
"Зарека";"https://tyumen.brusnika.ru/flat/63964/";"33,8";"7180000";"8450000";"63964"
"Зарека";"https://tyumen.brusnika.ru/flat/67914/";"33,7";"7180000";"8450000";"67914"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/50764/";"39,9";"7220000";"9460000";"50764"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49062/";"40";"7220000";"9460000";"49062"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/70058/";"40,2";"7220000";"9460000";"70058"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48607/";"42,5";"7230000";"9480000";"48607"
"Зарека";"https://tyumen.brusnika.ru/flat/69616/";"35,2";"7230000";"9040000";"69616"
"Зарека";"https://tyumen.brusnika.ru/flat/70093/";"35,2";"7230000";"9040000";"70093"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/58354/";"45,9";"7230000";"9470000";"58354"
"Зарека";"https://tyumen.brusnika.ru/flat/67038/";"37,9";"7260000";"7980000";"67038"
